% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770199578.9499 0.000 0.000 0.0000 -2.4266
1770199578.9543 0.000 0.000 0.0000 -2.4266
1770199578.9597 0.000 0.000 0.0000 -2.4266
1770199578.9651 0.000 0.000 0.0000 -2.4266
1770199578.9697 0.000 0.000 0.0000 -2.4266
1770199578.9753 0.000 0.000 0.0000 -2.4266
1770199578.9797 0.000 0.000 0.0000 -2.4266
1770199578.9852 0.000 0.000 0.0000 -2.4266
1770199578.9895 0.000 0.000 0.0000 -2.4266
1770199578.9950 0.000 0.000 0.0000 -2.4266
1770199578.9993 0.000 0.000 0.0000 -2.4266
1770199579.0047 0.000 0.000 0.0000 -2.4266
1770199579.0102 0.000 0.000 0.0000 -2.4266
1770199579.0145 0.000 0.000 0.0000 -2.4266
1770199579.0200 0.000 0.000 0.0000 -2.4265
1770199579.0244 0.000 0.000 0.0000 -2.4265
1770199579.0299 0.000 0.000 0.0000 -2.4265
1770199579.0343 0.000 0.000 0.0000 -2.4265
1770199579.0397 0.000 0.000 0.0000 -2.4265
1770199579.0452 0.000 0.000 0.0000 -2.4265
1770199579.0496 0.000 0.000 0.0000 -2.4265
1770199579.0550 0.000 0.000 0.0000 -2.4265
1770199579.0594 0.000 0.000 0.0000 -2.4265
1770199579.0648 0.000 0.000 0.0000 -2.4265
1770199579.0694 0.000 0.000 0.0000 -2.4265
1770199579.0748 0.000 0.000 0.0000 -2.4265
1770199579.0803 0.000 0.000 0.0000 -2.4266
1770199579.0846 0.000 0.000 0.0000 -2.4266
1770199579.0900 0.000 0.000 0.0000 -2.4266
1770199579.0944 0.000 0.000 0.0000 -2.4266
1770199579.0999 0.000 0.000 0.0000 -2.4265
1770199579.1054 0.000 0.000 0.0000 -2.4265
1770199579.1097 0.000 0.000 0.0000 -2.4265
1770199579.1154 0.000 0.000 0.0000 -2.4265
1770199579.1197 0.000 0.000 0.0000 -2.4265
1770199579.1251 0.000 0.000 0.0000 -2.4265
1770199579.1296 0.000 0.000 0.0000 -2.4265
1770199579.1350 0.000 0.000 0.0000 -2.4265
1770199579.1394 0.000 0.000 0.0000 -2.4265
1770199579.1448 0.000 0.000 0.0000 -2.4265
1770199579.1502 0.000 0.000 0.0000 -2.4265
1770199579.1546 0.000 0.000 0.0000 -2.4265
1770199579.1600 0.000 0.000 0.0000 -2.4265
1770199579.1644 0.000 0.000 0.0000 -2.4265
1770199579.1699 0.000 0.000 0.0000 -2.4265
1770199579.1745 0.000 0.000 0.0000 -2.4265
1770199579.1799 0.000 0.000 0.0000 -2.4265
1770199579.1853 0.000 0.000 0.0000 -2.4265
1770199579.1897 0.000 0.000 0.0000 -2.4265
1770199579.1951 0.000 0.000 0.0000 -2.4265
1770199579.1996 0.000 0.000 0.0000 -2.4265
1770199579.2049 0.000 0.000 0.0000 -2.4265
1770199579.2103 0.000 0.000 0.0000 -2.4265
1770199579.2147 0.000 0.000 0.0000 -2.4265
1770199579.2201 0.000 0.000 0.0000 -2.4265
1770199579.2247 0.000 0.000 0.0000 -2.4265
1770199579.2301 0.000 0.000 0.0000 -2.4266
1770199579.2345 0.000 0.000 0.0000 -2.4265
1770199579.2400 0.000 0.000 0.0000 -2.4265
1770199579.2453 0.000 0.000 0.0000 -2.4265
1770199579.2498 0.000 0.000 0.0000 -2.4265
1770199579.2552 0.000 0.000 0.0000 -2.4265
1770199579.2597 0.000 0.000 0.0000 -2.4265
1770199579.2651 0.000 0.000 0.0000 -2.4265
1770199579.2705 0.000 0.000 0.0000 -2.4265
1770199579.2750 0.000 0.000 0.0000 -2.4265
1770199579.2804 0.000 0.000 0.0000 -2.4265
1770199579.2849 0.000 0.000 0.0000 -2.4265
1770199579.2903 0.000 0.000 0.0012 -2.4265
1770199579.2947 0.000 0.000 0.0000 -2.4266
1770199579.3002 0.001 -0.000 -0.0012 -2.4263
1770199579.3045 0.001 -0.000 -0.0012 -2.4268
1770199579.3099 0.003 -0.000 -0.0023 -2.4271
1770199579.3153 0.003 -0.000 -0.0023 -2.4272
1770199579.3197 0.005 -0.000 -0.0023 -2.4270
1770199579.3251 0.006 -0.000 -0.0023 -2.4265
1770199579.3306 0.007 -0.000 -0.0035 -2.4263
1770199579.3349 0.008 -0.000 -0.0023 -2.4259
1770199579.3404 0.009 -0.000 -0.0035 -2.4259
1770199579.3448 0.010 -0.000 -0.0035 -2.4257
1770199579.3502 0.011 -0.000 -0.0046 -2.4257
1770199579.3546 0.012 -0.000 -0.0046 -2.4258
1770199579.3604 0.013 -0.000 -0.0035 -2.4258
1770199579.3647 0.014 -0.000 -0.0046 -2.4256
1770199579.3703 0.015 -0.000 -0.0058 -2.4257
1770199579.3749 0.016 -0.000 -0.0046 -2.4257
1770199579.3795 0.017 -0.000 -0.0058 -2.4259
1770199579.3850 0.018 -0.000 -0.0046 -2.4260
1770199579.3904 0.020 -0.000 -0.0058 -2.4259
1770199579.3948 0.021 -0.000 -0.0058 -2.4258
1770199579.4002 0.022 -0.000 -0.0058 -2.4258
1770199579.4046 0.023 -0.000 -0.0058 -2.4258
1770199579.4101 0.024 -0.000 -0.0069 -2.4256
